GR_isbn,GR_date,GR_title,GR_rating,GR_ratings_count,GR_reviews,GR_published,GR_1_stars,GR_2_stars,GR_3_stars,GR_4_stars,GR_5_stars
9788088483618.0,2024-04-01 14:28:32,Rozcestí osudu by Emilly Ross,4.17,12.0,5.0,"January 1, 2023",,,,,
9788089550944.0,2024-04-01 14:28:36,Magus by Kamil Zbruž,1.0,1.0,0.0,"January 1, 2023",,,,,
9788088378365.0,2024-04-01 14:28:48,Strastiplná robotí existence by Taťána Rubášová,4.6,5.0,1.0,"October 1, 2023",,,,,
9788020721877.0,2024-04-01 14:28:57,"Tiše, aby nás neslyšel… by Ondřej Macura",5.0,2.0,0.0,"October 30, 2023",,,,,
9788088406679.0,2024-04-01 14:29:00,Hodina dějepichu by Jan Studnička,4.58,12.0,2.0,"January 1, 2023",,,,,
9788076661059.0,2024-04-01 14:29:10,Zefkovo probuzení aneb splíny (v) budoucnosti by Marek   Müller,3.0,2.0,1.0,"January 1, 2023",,,,,
9788090880542.0,2024-04-01 14:29:13,Příběhy z Orlických hor v komiksech by Radek Drahný,3.0,1.0,0.0,"January 1, 2023",,,,,
9788088411246.0,2024-04-01 14:29:16,Hella by Alena Machoninová,3.5,10.0,1.0,"January 1, 2023",,,,,
9788088467816.0,2024-04-01 14:29:20,Balada pro Emily by Jarmila Stráníková,3.8,15.0,4.0,"October 21, 2023",,,,,
9788076950535.0,2024-04-01 14:31:48,Obchodníci s dětmi by Hana Hindráková,3.0,1.0,0.0,"January 1, 2023",,,,,
9788027150380.0,2024-04-01 14:31:53,Malé tečky světla by Zuzana Švédová,5.0,1.0,0.0,"November 20, 2023",,,,,
9788027139989.0,2024-04-01 14:31:56,Třicátý kilometr by Kateřina Dubská,2.5,4.0,0.0,"November 13, 2023",,,,,
9788027151448.0,2024-04-01 14:31:58,Božské Hamižnice  (#6 Morgavsa & Morgana) by Petr Kopl,4.5,2.0,0.0,"January 1, 2024",,,,,
9788088346258.0,2024-04-01 14:32:03,Lionet & jiné podivné případy by Jana Šouflová,4.2,5.0,1.0,"October 13, 2023",,,,,
9788087569504.0,2024-04-01 14:32:16,"Světská mafie (Polosvět, #2) by Jaroslav Kmenta",4.0,1.0,0.0,"January 1, 2023",,,,,
9788027801404.0,2024-04-01 14:32:20,Temné radosti predátorů by Viktorín Šulc,5.0,1.0,0.0,"October 18, 2023",,,,,
9788027801510.0,2024-04-01 14:32:31,Krev pro divoženku by Kristýna Sněgoňová,4.16,45.0,12.0,"November 9, 2023",,,,,
9788076560741.0,2024-04-01 14:32:36,"Námořník továrníkem (Povolání Volman, #2) by Petra Braunová",4.0,1.0,0.0,"January 1, 2023",,,,,
