autorstvo,titul,rok,pocet_stran
,Jednohubky,2006,304
,1-2-3 Hubneme,2006,79
,1-2-3 Moučníky,2006,79
,Cukroví,2006,360
"Hadrbolec, Roman",Vařil jsem světovým celebritám,2006,169
"Poláček, Jiří",Ottova kuchařka + daňový kalendář 2007,2006,66
"Sova, Eduard",Nejen moudrá strava od Sovy aneb Jak snadno zhubnout a vyzdravět,2006,72
"Poláček, Jiří",Moučníky a sladkosti 2007,2006,59
"Pape, Martin",Kulinářský malý stolní týdenní kalendář 2006,2006,56
"Choutka, Miloš",Chutně & jednoduše 2007,2006,65
"Košíková, Irena",V kuchyni s Čirinou,2006,177
"Kolivošková, Mária",Dobroty Na Doma,2006,116
"Požárová, Lenka",Fazole,2006,60
"Costantino, Maria",Koktejly de luxe,2006,256
"Smallwood, Vicki",100 receptů pro domácí pekárnu,2006,256
"Sajler, Filip",Talent & profesionalita,2006,105
"Šejbalová, Jiřina",Vaříme na chatě,2006,183
"Asenová, Ilona",Tančící princezna,2006,129
"Nosovský, Miloslav",Zapékané pochoutky,2006,90
"Filipová, Lea",Lahůdky z mletého masa,2006,90
"Nosovský, Miloslav",To nejlepší z české kuchyně,2006,106
"Martin, Pavel",Moravské sladkosti,2006,90
"Cásková, Věra",Domácí kuchařka,2006,106
"Kodým, Jiří",Kuchařka pro začínající,2006,61
"Pape, Martin",Míchané nápoje 2006,2006,32
,Evropská menu 2007,2006,36
"Finta, Ivan",Rybářův rok s recepty 2007,2006,57
"Poláček, Jiří",Rok plný sladkostí 2007,2006,57
"Poláček, Jiří",Rok plný sladkostí 2007,2006,59
"Poláček, Jiří",Recepty z Dámského klubu 2007,2006,61
"Poláček, Jiří",Česká Kuchyně 2007,2006,59
"Poláček, Jiří",Rychlé recepty 2007,2006,31
"Krýsl, Jan",Recepty pro štíhlou linii 2007,2006,31
"Poláček, Jiří",Domácí kuchyně 2007,2006,59
"Müller, Sven-David",Zdravá a chutná strava při onemocnění dnou,2006,120
"Runštuk, Jaroslav",Receptury studených pokrmů,2006,813
"Badal, Milan",Chutě Evropy,2006,158
"Vaiglová, Šárka",Zapékaná jídla,2006,206
"Juráňová, Božena",Chutné domácí moučníky,2006,92
"Burian, Jan",Politická kuchařka aneb Vaříme (s) politiky,2006,149
"Rožďalovská, Lucie",Vánoční cukroví,2006,138
,Pečení,2006,238
,Chuťový místopis regionů,2006,63
"Coulombe, Charles A.",Rum,2006,287
"Froydová, Maria",Kluci v akci 2,2006,195
"Werle, Loukie",Ingredience,2006,384
,Slepičí polévka pro duši na rozcestí,2006,291
"Tůma, Jan",Sporáky varné desky pečicí trouby,2006,74
"Bartoš, Vladimír",Diety při onemocnění cukrovkou,2006,31
"Chaloupka, Vít",Moderní zdravá kuchařka Vítka Chaloupky,2006,368
"Filipová, Eva",Excellent menu,2006,253
"Gasnier, Vincent",Nápoje,2006,512
,Zlaté recepty,2006,624
,1-2-3 - mleté maso,2006,78
,1-2-3 - Wok,2006,78
,Moučníky a dezerty na každý den 2007,2006,13
"Baljekar, Mridula",Kuchyně Indie a jihovýchodní Asie,2006,256
"Doeser, Linda",Čínská kuchyně,2006,256
"Bastyra, Judy",Thajská kuchyně,2006,256
"Teubner, Christian",Food,2006,335
"Pokorná, Miluše",Perníčky,2006,48
"Poncová, Svatava",Velká kuchařka od A do Z,2006,480
"Horecká, Zdenka",Velká kuchařská kniha vaření a pečení,2006,191
"Matějka, Václav",Houbařský kalendář 2007,2006,26
"Karpíšek, Tomáš",Ambiente,2006,206
"Teplíková, Jarmila",Olivová kuchařka,2006,198
"Noakes, Manny",Australská dieta,2006,211
"Norman, Jill",Bylinky a koření v kuchyni,2006,336
"Momčilová, Pavla",Automatická domácí pekárna,2006,111
,Slepičí polévka pro maminčinu duši,2006,299
"McDougall, John A.",McDougallův plán,2006,363
,Kuchařka z Opavska,2006,95
"Boková, Alice",S alkoholem za plotnou,2006,110
"Mallos, Tess",Skvělá chuť-- Maroka,2006,255
,Culinaria Itálie,2006,496
,Dezerty a moučníky,2006,304
"Gabriel, Richard",Praktické rady do kuchyně,2006,229
"Stejskalová, Jaroslava",Receptury pro cukrářskou výrobu,2006,94
"Stejskalová, Jaroslava",Receptury pro cukrářskou výrobu,2006,62
"Julišová, Zuzana",Strava je víc než jídlo aneb Člověk je to co jí,2006,100
"Lužná, Dagmar",Nemoc není nepřítel aneb Makrobiotický léčebný talíř,2006,303
,Vánoční kuchařka,2006,16
"Hřebíčková, Barbora A.",Recepty starých mistrů aneb Malířské postupy středověku,2006,176
"Choutka, Miloš",Kuchařův atlas 2007,2006,63
"Hrbková, Alena",Kluci v akci 2007,2006,63
"Gibson, Ray",Nápady pro šikovné ruce,2006,96
"Pomiane, Édouard de",Kuchařka pro znalce a labužníky,2006,193
"Křížek, Zdeněk",Čínská kuchyně na českém stole,2006,201
"Matějková, Dagmar",Nebojte se vařit bio,2006,38
"Aszkiewicz, Ewa",Moučníky a cukroví,2006,256
"Aszkiewicz, Ewa",Recepty na každý den,2006,383
,Nebojte se vařit bio,2006,38
"Hejkalová, Markéta",U nás v Evropě,2006,198
"Szwillus, Marlisa",Životospráva ženy po 40,2006,151
"Stejskalová, Jaroslava",Receptury pro cukrářskou výrobu,2006,110
"Porebská, Hana",Pod pokličkou 2,2006,213
"Zelinková, Eva",Mlsné jazýčky slavných,2006,129
"Hlaváček, Jan",Recepty z ášramů,2006,124
"Kuciel, Martin",Cuketkacz,2006,
"Ingram, Christine",Všechno o jídle,2006,512
,Slavíme,2006,78
"Krupárová, Martina",Kuchařka pro malé šéfkuchaře a šéfkuchařky,2006,52
"Starnovská, Tamara",Diety při zvýšené hladině cholesterolu II,2006,31
,Problematika desertifikace v České republice,2006,28
,Chuť naplněných let,2006,57
"Karas, Jan",Fit recepty Olgy Šípkové 2007,2006,59
"Jonáš, Josef",Jonášova kuchařka pro zdraví,2006,278
"Slavíková, Věra",Rozloučení s Věstonickou Venuší aneb Dieta RSVV,2006,119
"Kopečný, František",Rozmanité využití hub v kuchyni po celý rok,2006,40
,Dělená strava,2006,120
,Pečení,2006,120
,Italská kuchyně,2006,120
,Vánoční kuchyně,2006,82
,Grilování,2006,81
,Bezmasá kuchyně,2006,82
"Hebr, Josef",Vařila paní Stella 2007,2006,64
,Kuchařka pro diabetiky a nejen pro ně,2006,287
,Vaříme s opičkou Štěpánkou,2006,50
,Gurmetklub,2006,
"Sucháčová, Jaroslava",Vůně dobrot z podhůří Šumavy,2006,67
"Sucháčová, Jaroslava",Vůně dobrot z podhůří Šumavy,2006,80
"Elstner, František Alexander",Zálesácká kuchyně,2006,199
"Zahálka, Jaroslav",Kuchařka námětů a příkladů pro místní agendu 21 v Ústeckém kraji,2006,59
,Vánoční kuchařka,2006,16
"Zahradník, Karel",90 let organizovaného včelařství v Bystřici pod Hostýnem,2006,68
"Škachová, Šárka",Šárčina škola vaření,2006,
"Bestajovský, Martin",Lidové obyčeje a nápady pro šikovné ruce,2006,64
"Magni, Milan",Sto receptů pro vinaře,2006,59
"Fiala, Ondřej",888 nejlepších receptů našich prababiček,2006,361
"Bušinová, Iva",Bezlepková kuchařka II,2007,217
"Fořt, Petr",Tak co mám jíst,2007,417
"Štochlová, Jaroslava",Vysoký krevní tlak - dieta a rady lékaře,2007,83
"Kenton, Leslie",Syrová strava,2007,339
,Koktejly 2007,2007,64
,Recepty sladkostí 2007,2007,64
,Recepty plné vitamínů 2007,2007,32
"Hofhanzlová, Judita",Nastávající a kojící maminky si vaří chutně a zdravě,2007,102
"Bodensteiner, Susanne",Vaříme pro celou rodinu,2007,238
"Ahnert, Ingrid",Nejlepší bylinky v kuchyni,2007,112
,Grilování,2007,160
"Kučerová, Naďa",Váha mě netrápí aneb Jak zhubnout a zůstat štíhlý a mladý,2007,96
,Zelenina v kuchyni 2007,2007,57
"Francková, Zuzana",Kořeněná kuchařka aneb Koření pro chuť i zdraví,2007,141
,Kuchařka,2007,140
"Vašák, Jaroslav",Ottova velká hrníčková kuchařka,2007,527
"Ramsay, Gordon",Ráj v kuchyni,2007,255
"Krejčová, Radka",Perníčky na celý rok,2007,29
"Höflerová, Jitka",Kuře krůta a ryby,2007,74
"Vaiglová, Šárka",Saláty,2007,75
"Doležal, Vladimír",Kuchařka - z babiččina receptáře,2007,123
"Michňová, Pavla",Máme rádi řízky,2007,106
"Cásková, Věra",Recepty převážně s masem,2007,106
"Kareš, Jiří",Recepty skoro dietní,2007,106
,Jak se vaří na venkově,2007,106
"Escoffier, Auguste",Moje francouzská kuchyně,2007,936
,Tajemství šéfkuchařů,2007,223
,Recepty pro každý den 2007,2007,32
,Biokuchařka,2007,96
"Kohout, Pavel",Dieta při antikoagulační léčbě,2007,59
"Havlů, Karina",Pórek na 160 způsobů,2007,111
,Receptury pokrmů pro školní stravování,2007,291
,Receptury pokrmů pro školní stravování,2007,238
,Receptury pokrmů pro školní stravování,2007,285
"Kužela, Lubomír",Diety při onemocnění dnou,2007,31
"Kubátová, Marie",Medový perníček - do srdce chodníček,2007,119
,Recepty naší rodiny,2007,172
,Brambory pokaždé jinak,2007,48
,Džemy marmelády & čatní,2007,48
,Moučníky a dezerty,2007,48
,Hodujeme v zahradě,2007,48
,Rýže & rizota,2007,48
,Chuťovky,2007,48
,Omáčky & marinády,2007,48
,Vegetariánská kuchařka,2007,48
,Zeleninové speciality,2007,48
"Skopová, Kamila",Velikonoční svátky o století zpátky aneb Jarní tradice v české domácnosti,2007,69
"Jarolímková, Stanislava",Jak připravovat obiloviny luštěniny semena a ořechy,2007,170
"Prchal, Jiří",Doma chutná nejlépe,2007,338
"Požárová, Lenka",Lilek,2007,58
"Bauerová, Ilona",Pomazánky,2007,75
"Höflerová, Jitka",Grilování,2007,75
"Poláčková, Blanka",Velikonoční recepty,2007,75
"Rušavý, Zdeněk",Diabetes mellitus čili Cukrovka,2007,94
"Kohout, Pavel",Onemocnění slinivky břišní - dieta pankreatická,2007,132
,Recepty naší rodiny,2007,180
,Party kuchařka,2007,96
"Brahová, Marie",Nejkrásnější perníčky,2007,29
"Sucháčová, Jaroslava",Vůně dobrot z podhůří Šumavy,2007,103
,Recepty s tajenkou,2007,102
"Baláková, Alena",Tradiční recepty bez lepku,2007,151
,Saláty,2007,80
"Kludská, Dagmar",Afrodiziaka a recepty pro zamilované,2007,165
"Mrázová, Dája",Domácí pekárna,2007,167
"Risi, Armin",Vegetariánský život,2007,101
"Formáčková, Marie",Jablečný ocet,2007,159
"Mandžuková, Jarmila",Potraviny pro zdravou výživu od A do Z,2007,125
,Wok,2007,80
,Powerdrinky,2007,96
,Táborová kuchařka II,2007,59
,Dezerty,2007,48
,Kuře,2007,48
,Barbecue,2007,48
,Těstoviny,2007,48
,Pikantní minutky,2007,48
,Ovocné saláty a dezerty,2007,48
,Bylinky v kuchyni,2007,48
"Heidböhmer, Ellen",Zázračný kořen,2007,131
"Michopulu, Hana",Kuchařka Zpátky domů,2007,239
,Káva,2007,50
,Wok,2007,160
"Zacker, Christina",Dobré rady do kuchyně,2007,223
,Zvěřina,2007,160
,Suši,2007,96
,Tapas,2007,159
,Čokoláda pro znalce a labužníky,2007,50
"Málková, Iva",Hubneme s rozumem v praxi,2007,158
,Braňte se jídlem,2007,352
,Kuchařka pro princezny,2007,48
"Martin, Pavel",Vaříme podle našich babiček,2007,90
"Michňová, Pavla",I muži vaří,2007,61
"Vlachová, Libuše",Grilování doma i na chatě,2007,90
"Martin, Pavel",Kuchařka z jihočeské fary,2007,106
"Vlachová, Libuše",Příprava jídel na pánvi,2007,106
"Harris, Vicky",Skvělá chuť-- Španělska,2007,255
"Rákosníková, Jitka",Polévky,2007,83
"Steed, Tobias",Hollywoodské koktejly,2007,128
"Froydová, Maria",Lechtivé vaření,2007,77
,Zelenina,2007,80
,Těstoviny,2007,80
"Chaloupka, Vít",Jak (ne)nakrmit otesánka,2007,208
,1-2-3 Muffiny,2007,79
"Benhaim, Paul",Konopí,2007,408
"Houba, Miroslav",Poznejte pěstujte používejte brambory,2007,150
"Kučerová, Antonie",Staročeská kuchařka,2007,75
"Höflerová, Jitka",Vaříme a pečeme bez vážení,2007,75
"Sarwa, Andrzej Julius",Velká kniha o domácí výrobě lihových nápojů,2007,350
"Kužela, Lubomír",Dna - nemoc králů,2007,70
"Šebek, Luboš",Technologie kuchařských prací pro 1-3 ročník odborných učilišť,2007,152
"Pišová, Jana Florentýna",Kuchařka pro dceru,2007,389
"Lützner, Hellmut",Stravování po půstu,2007,128
"Vlk, Václav",Udírny,2007,109
"Uhrin, Roman",Nevařte podle kuchařek,2007,367
"Vlachová, Libuše",Domácí recepty na bylinkách,2007,90
"Kareš, Jiří",Osladíme si život,2007,61
"Mayer, Miroslav",Tradiční staročeská kuchyně,2007,89
"Vlachová, Libuše",Sladkosti,2007,89
"Vlachová, Libuše",Dieta pro snížení cholesterolu,2007,106
"Karlík, František",Co vařit na podzim a v zimě,2007,106
"Požárová, Lenka",Pitíčka,2007,60
"Jablonský, Ivan",Vaříme z exotických a léčivých hub,2007,111
"Lorenz, Jürgen",Pečení uzení a grilování ryb,2007,152
,Recepty naší rodiny,2007,341
"Havlů, Karina",Italská kuchařka,2007,182
"Jeništová, Květa",Moučníky,2007,125
"Štanc, Otakar",Černošická kuchařka,2007,191
"Werth, Lioba",Obchodní obědy a večeře,2007,107
"Horan, Peter",Štíhlá linie - zdravé srdce,2007,185
"Dusy, Tanja",50 pomazánek + 2 recepty na chléb,2007,64
,Recepty pro diabetiky 5 2008,2007,64
"Mandžuková, Jarmila",Recepty z jednoho hrnce,2007,73
"Lenz, Claudia",Fondue,2007,64
"Clark, Aimée",Kuchařka pro matky na pokraji nervového zhroucení,2007,160
"Seeman, Nicole",Kuchařka pro dívky které se od svých matek příliš nenaučily,2007,160
"Sandklef, Viveka",Hledám pokusné králíky k ochutnávce svých kuchařských experimentů,2007,160
"Vidaling, Raphaële",Ochutnej a nebudeš chtít jinou aneb Láska prochází žaludkem,2007,160
"Turckheim, Stéphanie de",50 receptů pro štíhlou linii aneb Jak si báječně pochutnat a zůstat přitažlivá,2007,160
"Jacquet, Claire",Nikdo mě nemá rád aneb Jak zapomenout na bývalého partnera dobrým soustem,2007,160
"Kempe, Christina",Grilování,2007,64
"Socha, Radomír",Sbíráme holubinky aneb Jak nasbírat houby když nerostou hřiby,2007,199
"Motalová, Veronika",Kuchařka pro děti,2007,96
"Riahi, Khaled",Koktejly,2007,295
"Poncová, Svatava",Sladká hrníčková kuchařka,2007,124
,Chutnou stravou proti vysokému tlaku,2007,319
"Rademacker, Birgit",50 receptů pro 1 pánev,2007,62
,Polévky a dušená jídla,2007,160
,Dny lidových řemesel a tradiční gastronomie,2007,1
"Bellei, Sandro",Modena na talíři,2007,200
"Döpp, Elisabeth",Nákypy a zapékaná jídla,2007,64
"Hess, Reinhardt",Plátky masa na 50 způsobů,2007,62
"Kučerová, Antonie",Myslivecká kuchařka,2007,73
"Hladká, Kamila",Ovocné moučníky,2007,91
,Čokoládové dobroty,2007,96
,Dezerty,2007,96
,Italská kuchyně,2007,96
"Treuille, Eric",Velká kniha o grilování,2007,168
"Dakin, Glenn",Shrek kuchařka,2007,79
"Dittertová, Eva",Kuchyně starého Chebu,2007,279
"Joachim, David",Lahodné omáčky k masu a těstovinám,2007,257
"Solařová, Květuše",Košíček svátečních receptů,2007,195
"Orlovskaja, Aleksandra Viktorovna",Vaříme podle znamení zvěrokruhu,2007,183
"Kittler, Martina",Omáčky,2007,64
"Matthaei, Bettina",Rafinované koření,2007,64
,Maso mnoha chutí,2007,160
,Čínská kuchyně,2007,96
,Kuře,2007,96
,Jídla z jednoho hrnce,2007,96
,Drůbeží speciality,2007,96
,Vaříme s dětmi,2007,96
,Zavařujeme jinak,2007,96
,Pečené a zapékané speciality,2007,96
,Řecká kuchyně,2007,96
,Speciality z brambor,2007,96
,Chuťovky a malá pohoštění,2007,96
,Saláty,2007,96
,Snídaně a svačiny,2007,96
,Ovocné a zeleninové speciality,2007,95
,Nízkotučné pokrmy,2007,96
,Ruská kuchyně,2007,96
,Ryby a plody moře,2007,96
,Vegetariánská kuchařka,2007,96
,Mléčné koktejly pro zdraví,2007,96
"Lagorce, Stéphane",Kuchařské umění od A do Z,2007,719
"Carroll, Richard",Velká kniha vaření a pečení,2007,256
"Carroll, Richard",Velká kniha grilování,2007,256
"Schinharl, Cornelia",Rychlá italská kuchyně,2007,62
"Ramsay, Gordon",Nedělní oběd,2007,255
"Dugas, Dionýz",500 nejlepších receptů lidové medicíny,2007,247
"Dugas, Dionýz",500 nejlepších receptů lidové medicíny,2007,247
"Kurz, Susan West",Probuďte svou krásu,2007,208
"Gahm, Bernhard",Klobásy salámy paštiky,2007,156
"Ottová, Marta",Z jednoho dvě,2007,162
"Šponarová, Kájina",Chytrá kuchařka,2007,90
"Höppnerová, Věra",Němčina pro číšníky a kuchaře,2007,291
"Čermáková, Jana",52 originálních čokoládových specialit,2007,111
"Lužná, Dagmar",Makrobiotické nedělní vaření,2007,239
"Schinharl, Cornelia",50 omáček na těstoviny,2007,64
"Skopová, Kamila",Hody půsty masopusty,2007,201
"Skopová, Kamila",Vánoční svátky o století zpátky aneb Tradice Vánoc v české kuchyni,2007,55
"Cramm, Dagmar von",Vaříme pro miminka a malé děti,2007,192
"Sucháčová, Jaroslava",Vůně dobrot z podhůří Šumavy,2007,112
"Vašák, Jaroslav",Velká česká kuchařka,2007,408
"Michňová, Pavla",S vůní česneku a cibule,2007,106
"Tetíková, Jana",Vánoční cukroví snadno a rychle,2007,106
"Chaloupka, Vladimír",Drůbež se nikdy nepřejí,2007,106
"Vlachová, Libuše",Chuťovky a speciality studené kuchyně,2007,90
"Lužná, Dagmar",Makrobiotický léčebný talíř aneb Nemoc není nepřítel I,2007,303
,Evropská menu 2008,2007,18
"Janků-Sandtnerová, Marie",Klasická česká kuchařka,2007,423
"Požárová, Lenka",Salát,2007,60
"Vašák, Jaroslav",Velká rodinná kuchařka,2007,479
,Vánoční cukroví,2007,157
"Froydová, Maria",Kluci v akci 3,2007,148
"Filipová, Lea",Pečeme moučníky po celý rok,2007,192
"Poncová, Svatava",Hrníčková kuchařka pro začátečníky,2007,112
"Havlová, Vladimíra",Recepty se sníženým obsahem cholesterolu,2007,94
"Havlová, Vladimíra",Kuchařka při onemocnění jater,2007,79
"Havlů, Karina",Bylinky v naší kuchyni,2007,173
"Chaloupka, Vladimír",Sladká kuchařka,2007,239
,1-2-3 Zelenina,2007,79
"Poláček, Jiří",Moučníky a sladkosti 2008,2007,30
"Karas, Jan",Fit recepty Olgy Šípkové 2008,2007,30
"Kořínková, Lenka",Dieta pro vášnivé megajedlíky aneb To nejlepší ze SPLK,2007,378
"Černická, Marie Jana",Česká kuchařka podle krevních skupin,2007,222
"Froydová, Maria",Jak chutná Andalusie,2007,124
"Poncová, Svatava",Nejlepší recepty sladké hrníčkové kuchyně,2007,103
,Těstoviny,2007,128
"Wigmore, Ann",Klíčení rostlin,2007,119
"Faktor, Viktor",Tradiční česká kuchyně,2007,344
"Beránek, Jaromír",Dietní stravování,2007,48
"Guichard-Solignac, Gwenaëlle",Moučníky & dezerty,2007,455
"Darbonne, Caroline",Rychlé recepty do 20 minut,2007,455
"Keng-Peralta, Gabrielle",Magické hůlky čínské dámy aneb Čínská kuchyně po evropsku,2007,160
,Myš v polévce--,2007,160
"Seeman, Nicole",Kuchařka pro mladé muže aneb Jak s minimem špinavého nádobí a kuchařských zkušeností zapůsobit na dívku,2007,160
"Pavlowitch, Anna",Divotvorná kuchařka aneb Jak bez kouzel připravit pohádkové pokrmy,2007,160
"Lesbros, Dominique",Je pro vás exotická kuchyně španělskou vesnicí aneb Jak si v exotické restauraci nepřipadat jako hlupák,2007,160
"Pavlowitch, Anna",Kuchařský manuál aneb Jak z polotovarů připravit jídlo jako od maminky,2007,160
"Seeman, Nicole",Pomoc Přijde návštěva,2007,160
"Pavlowitch, Anna",Pryč s nudnou tradicí,2007,160
"Seeman, Nicole",Tradiční recepty pro nostalgické gurmány aneb Co v kuchyni vyšlo z módy,2007,160
"Hackstein, Yara",Saláty,2007,296
"Ferretti, Elizabeth",Nejen pečení s čokoládou,2007,128
,Nejoblíbenější koktejly,2007,128
"Mandžuková, Jarmila",Nedělní oběd za 60 minut,2007,102
"Mandžuková, Jarmila",Knedlíky,2007,99
"Černý, Ladislav",Co a jak s masem,2007,103
"Starnovská, Tamara",Diety při onemocnění cukrovkou II,2007,31
,Nejlepší pokrmy z woku a pánve,2007,384
"Mandžuková, Jarmila",Dobrotami proti splínu,2007,159
"Kopáčová, Olga",Trendy ve zpracování cereálií s přihlédnutím zejména k celozrnným výrobkům,2007,55
"Píchová, Jarmila",Med v kuchyni labužníka,2007,258
,Velká domácí kuchařka,2007,266
"Poláčková, Blanka",Na vánoční stůl,2007,75
"Clouet, Thomas",Minirolky Thomase Cloueta,2007,143
"Finta, Ivan",Rybářův rok s recepty 2008,2007,29
,Dorty a pečivo,2007,160
,Koláče a moučníky,2007,160
,Kuchařka 2008,2007,13
"Skřička, Tomáš",Dieta u pacientů se střevními vývody a po operaci střev,2007,68
,Dobrou chuť velkoměsto,2007,465
,Deserts 2008,2007,14
"Krýsl, Jan",Kuchařka naší Elišky 2008,2007,16
"Foršt, Jaroslav",Kapesní biolexikon,2007,191
,Ryby a mořské plody,2007,320
,Těstoviny,2007,253
,Recepty z rychlé kuchyně,2007,252
,Wok,2007,256
,Pečení krok za krokem,2007,144
"Kuntzmannová, Miroslava",Recepty z Ulice,2007,119
,Koktejly pro znalce a labužníky,2007,100
,Jídla pro radost,2007,80
"Světová, Lenka",Mořská (nejen) kuchařka,2007,302
"Trnková, Klára",Tajné vánoční recepty naší babičky,2007,39
"Bohlmann, Friedrich",Vaříme zdravě při revmatizmu,2007,128
"Szwillus, Marlisa",Vaříme zdravě při osteoporóze,2007,128
"Chaloupka, Vít",I zázraky se dějí,2007,148
"Požárová, Lenka",Banán,2007,56
"Poláček, Jiří",Rok plný sladkostí 2008,2007,30
"Krýsl, Jan",Zdravé recepty 2008,2007,29
"Poláček, Jiří",Rychlé recepty 2008,2007,16
"Krýsl, Jan",Recepty pro štíhlou linii 2008,2007,16
"Schejbal, Zdeněk",Moderní myslivecká kuchařka,2007,139
"Poláček, Jiří",Česká kuchyně 2008,2007,29
"Poláček, Jiří",Recepty z Dámského klubu 2008,2007,31
"Poláček, Jiří",Česká kuchyně 2008,2007,30
,Kuchařka pro každý den 2008,2007,32
"Rákosníková, Jitka",Ořechy,2007,119
"Choutka, Miloš",Receptář míchaných nápojů 2008,2007,16
"Strnadelová, Vladimíra",Radost ze zdravých dětí,2007,346
"Karmel, Annabel",Vaříme pro kojence a batolata,2007,227
"Mandžuková, Jarmila",Rychlomoučníky aneb Nasyp - nalij - smíchej - upeč,2007,98
"Mandžuková, Jarmila",Vánoční cukroví na poslední chvíli,2007,98
"Thibaut-Comelade, Éliane",Saláty Středomoří,2007,379
"Zemina, Milan",Chutně jednoduše zdravě 2008,2007,31
"Johari, Harish",Ájurvéda,2007,273
"Besserová, Miroslava",Vánoce v kuchyni slavných,2007,206
"Hebr, Josef",Kuře pokaždé jinak 2008,2007,32
"Choutka, Miloš",Recepty nejen pro vařícího muže 2008,2007,33
"Lužná, Dagmar",Makrobiotický léčebný talíř aneb Nemoc není nepřítel II,2007,335
"Pešek, Petr",Ruská kuchyně v proměnách doby,2007,236
"Höflerová, Jitka",Grilování po česku,2007,135
"Procházková, Zdenka",Vášně chutě neřesti aneb Kohout co si ještě nevrz,2007,163
,Pohoštění,2007,159
"Hrčková, Anna",Co se dříve jedlo pod štramberskou trúbou,2007,42
"Havlů, Karina",Pánev wok,2007,121
"Zemina, Milan",Ze světa do české kuchyně 2008,2007,16
,Slepičí polévka pro duši osamělého rodiče,2007,273
"Doležalová, Alena",Bifteky řízky a další výborná masíčka,2007,108
"Poláček, Jiří",Rok plný sladkostí 2008,2007,29
"Platl, Zdeněk",Recepty z české kuchyně 2008,2007,17
"Matějka, Václav",Houbařský kalendář 2008,2007,13
,Od medu k perníkům,2007,153
"Bohrmann, Peter",Míchané nápoje,2007,560
"Trnková, Klára",Měsíc v zahradě,2007,125
"Runštuk, Jaroslav",Receptury teplých pokrmů,2007,568
"Kabourková, Zdena",Vaříme s Habadějem 2007 aneb Jak se vaří v rozhlase,2007,215
"Tomíčková, Věra",Kuchyně,2007,112
"Lawson, Jane",Skvělá chuť-- Japonska,2007,255
"Stejskalová, Jaroslava",Receptury pro cukrářskou výrobu,2007,90
,Recepty na zajímavé hodiny českého jazyka a literatury pro 2 stupeň ZŠ a víceletá gymnázia,2007,1
"DeWitt, Dave",Da Vinciho kuchyně,2007,239
,Bramborová sobota,2007,1
,Magdalenčina medová kuchařka,2007,49
,Kuchařka vyzkoušených receptů aneb Jídlo - radost ze života,2007,18
,Vaření s šarmem a lehkostí,2007,1
,Lechtivé vaření,2007,1
"Rákosníková, Jitka",Malí kuchaři,2007,121
,Medové dobroty,2007,16
"Cramm, Dagmar von",Vaříme pro děti,2007,240
"Stupka, Petr",Kuchařské čarování II,2007,160
,Polská jídla =,2007,32
,Wine Food Travel,2007,
"Mandžuková, Jarmila",Rychlomoučníky aneb Nasyp - nalij - smíchej - upeč,2007,98
"Malovický, Václav",Kuchyně mezi Orlicí Labem a Cidlinou,2007,200
"Mandžuková, Jarmila",Knedlíky,2007,99
,Doma u Hitlerů aneb Historky z Hitlerovic kuchyně,2007,1
"Vaiglová, Šárka",Hrnečku vař,2007,357
,Prague food festival,2007,
"Teubner, Christian",Food,2007,335
"Koukolová, Alexandra",Praktická bezlepková kuchařka 2,2007,81
,Kostelecká kuchařka,2007,126
"Antol, Marie Nadine",Neuvěřitelná tajemství hořčice,2008,218
,Ottova kuchařka naší vesnice,2008,503
"Balaštík, Jaroslav",Vaříme rádi,2008,226
"Hasalová, Soňa",Pomazánky a paštiky aneb Magie studené kuchyně,2008,103
"Hasalová, Soňa",Polévky,2008,103
"Kohout, Pavel",Onemocnění jícnu vředová choroba žaludku a dvanáctníku,2008,109
"Ramsay, Gordon",Rychlá jídla,2008,255
,Lahodná čokoláda,2008,256
"Vlachová, Libuše",Kotlety řízky špízy--,2008,106
,Cukety,2008,87
"Kimpel, Roger",Lexikon grilování,2008,304
,Život s bylinkami,2008,160
"Davies, Kim",Koktejly,2008,208
,Kuře,2008,128
"Foster, Helen",GI dieta,2008,96
"Cronjaeger, Marietta",Nejchutnější recepty pro kojence,2008,127
,Rýže,2008,80
"Elliott, Rebecca",Kdo snědl salát,2008,10
,Barbecue,2008,48
,Ryby a plody moře,2008,48
,Wok,2008,48
,Drůbeží speciality,2008,48
"Platl, Zdeněk",Recepty z celého světa 2008,2008,33
,Saláty,2008,48
,Jednohubky,2008,48
,Omelety palačinky a koblihy,2008,48
,Nudle,2008,48
,Lehká letní jídla,2008,48
,Chuťovky,2008,48
,Brambory pokaždé jinak,2008,48
,Steaky a jiné speciality z vepřového masa,2008,48
,Bifteky a jiné speciality z hovězího masa,2008,48
,Pečeme s čokoládou,2008,48
,Barbecue,2008,64
,Kuře pokaždé jinak,2008,64
,Ostrá jídla s chilli,2008,62
,Rychle pro celou rodinu,2008,64
,Ryby a plody moře,2008,64
,Česnekové speciality,2008,64
,Chutně a zdravě,2008,64
,Zeleninové pokrmy,2008,64
,Maso a drůbež,2008,64
,Těstoviny pokaždé jinak,2008,64
,Lehká chutná jídla,2008,64
,Vaření v páře,2008,64
"Kubík, Vladimír",Toulky přírodou 2008,2008,17
,Křest - Večeře Páně - Ordinace,2008,34
"Guiliano, Mireille",Francouzky umí žít,2008,380
,Prostřený stůl,2008,126
,Hubněte ve spánku,2008,191
"Saum, Kilian",Léčivá síla z klášterní zahrady,2008,336
