DK_isbn,DK_date,DK_titul,DK_rating,DK_ratings_count,DK_tags,DK_Právě_čtených,DK_Přečtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Chystám_se_číst,DK_Chci_si_koupit,DK_dalších_seznamech,DK_Doporučených,DK_autorstvo,DK_vyslo
9788075683298,2024-04-02 10:24:53,Anima,86.0,10.0,['české sci-fi'],1.0,10.0,,1.0,10.0,3.0,1.0,3.0,,
9788025742396,2024-04-02 10:24:54,Striptease Chicago a jiné povídky,84.0,22.0,"['povídky', 'vystěhovalci, emigranti', 'Chicago']",,27.0,,31.0,11.0,3.0,,,,
9788025741917,2024-04-02 10:24:55,Vilda,81.0,21.0,"['životopisné, biografické romány', 'box', 'první republika, 1918-1938', 'české romány']",1.0,22.0,6.0,7.0,11.0,8.0,4.0,,,
9788025741429,2024-04-02 10:24:57,Poslední kacíř: Román ze středověké Prahy,61.0,20.0,"['Praha', 'středověk', 'husité', 'husitství', 'historické detektivky', 'historické romány', 'české romány']",8.0,22.0,3.0,47.0,75.0,19.0,2.0,1.0,,
9788025741863,2024-04-02 10:24:58,Amsterodamské vigilie,82.0,9.0,"['historie, dějiny', 'alternativní historie', '17. století', 'životopisné, biografické romány', 'Rembrandt', 'Jan Amos Komenský', 'Amsterdam, Amsterodam']",2.0,12.0,4.0,22.0,25.0,6.0,,4.0,,
9788025741542,2024-04-02 10:24:59,Překladatelka haiku,62.0,13.0,[],,19.0,2.0,33.0,44.0,12.0,1.0,1.0,,
9788025743423,2024-04-02 10:25:00,Za čárou,100.0,2.0,[],1.0,9.0,,27.0,17.0,1.0,,,,
9788025742303,2024-04-02 10:25:01,Evropanka: Historky z Polesí,80.0,20.0,"['Ukrajina', 'volynští Češi', 'ukrajinská literatura', 'babička']",3.0,24.0,1.0,42.0,71.0,22.0,2.0,2.0,,
9788025742778,2024-04-02 10:25:03,Výstava chameleonů,65.0,4.0,[],1.0,4.0,,2.0,10.0,,,,,
9788088437109,2024-04-02 10:25:07,Krvavý náhrobek,81.0,42.0,"['detektivní a krimi romány', 'jižní Čechy', 'pátrání v minulosti', 'české detektivky', 'České Budějovice']",,47.0,3.0,17.0,17.0,17.0,,5.0,,
9788088483465,2024-04-02 10:25:08,Kráva a kretén,73.0,58.0,['romantika'],,61.0,3.0,98.0,53.0,13.0,3.0,1.0,,
9788088437093,2024-04-02 10:25:09,Zločiny dvorního rady I.,77.0,6.0,[],1.0,8.0,1.0,4.0,5.0,4.0,,,,
9788074565403,2024-04-02 10:25:11,Strnadův efekt,84.0,60.0,"['válečné sci-fi', 'české sci-fi', 'sci-fi']",3.0,84.0,7.0,61.0,33.0,12.0,,1.0,,
9788025742365,2024-04-02 10:25:12,Město v mlze,66.0,55.0,[],1.0,60.0,9.0,55.0,83.0,20.0,3.0,2.0,,
9788025743188,2024-04-02 10:25:14,Rváčov 2,80.0,4.0,[],,4.0,1.0,8.0,5.0,4.0,1.0,,,
9788073766689,2024-04-02 10:25:15,(NE)uvěřitelný život Oty K.,60.0,2.0,[],,2.0,,,12.0,4.0,,,,
9788082860019,2024-04-02 10:25:16,Na kolenách,80.0,1.0,[],,1.0,1.0,3.0,2.0,1.0,,,,
9788024292342,2024-04-02 10:25:17,Zvedá se vítr,74.0,289.0,"['horory', 'duchové a přízraky', 'povodně', 'jižní Morava', 'české horory', 'Hodonín', 'hurikány a tornáda']",17.0,329.0,65.0,138.0,207.0,67.0,5.0,12.0,,
9788024292120,2024-04-02 10:25:19,Řeka pod hladinou: Vědomím proti času,72.0,76.0,"['psychologie', 'cestování časem', 'dějiny lidstva', 'minulé životy', 'duchovní literatura', 'české romány']",11.0,87.0,18.0,54.0,139.0,36.0,2.0,4.0,,
9788024951706,2024-04-02 10:25:20,Italské mentolky,77.0,39.0,[],,45.0,11.0,61.0,27.0,11.0,2.0,2.0,,
9788088483502,2024-04-02 10:25:22,Psina s princem,60.0,9.0,[],,11.0,1.0,66.0,27.0,4.0,3.0,,,
9788076751286,2024-04-02 10:25:24,"Věci, které září",87.0,6.0,[],,8.0,,7.0,20.0,13.0,,,,
9788074434976,2024-04-02 10:25:26,Hořím v kameni,80.0,2.0,[],,3.0,,,,,,,,
9788074434891,2024-04-02 10:25:27,Nějaké ženy a jacísi muži,68.0,5.0,"['muži', 'ženy', 'partnerské vztahy', 'vztahy', 'české povídky', 'krizové situace', 'psychologie pohlaví']",,4.0,,1.0,2.0,,1.0,2.0,,
9788090889804,2024-04-02 10:25:28,Kastelán,56.0,5.0,['kasteláni'],,4.0,,33.0,4.0,2.0,,1.0,,
